region_name,region_type,region_id,color
VISpm,allen_ccf,533,#08858C
NLOT2,allen_ccf,268,#95E4C8
KF,allen_ccf,123,#FFAE6F
RSPagl1,allen_ccf,671,#1AA698
em,allen_ccf,1092,#CCCCCC
mtg,allen_ccf,681,#CCCCCC
act,allen_ccf,908,#CCCCCC
GR,allen_ccf,1039,#FFA5D2
cett,allen_ccf,932,#CCCCCC
fa,allen_ccf,956,#CCCCCC
ACB,allen_ccf,56,#80CDF8
IPRL,allen_ccf,607344862,#FFA6FF
VCO,allen_ccf,101,#FFA5D2
PTLp,allen_ccf,22,#009FAC
TTd,allen_ccf,597,#62D09F
NLOT3,allen_ccf,1139,#95E4C8
VISpl,allen_ccf,425,#08858C
IO,allen_ccf,83,#FFB3D9
Isocortex,allen_ccf,315,#70FF71
PERI5,allen_ccf,692,#0E9684
MMd,allen_ccf,606826659,#FF4C3E
AUDv,allen_ccf,1018,#019399
RE,allen_ccf,181,#FF909F
CEAc,allen_ccf,544,#80C0E2
sV,allen_ccf,229,#CCCCCC
pm,allen_ccf,753,#CCCCCC
RR,allen_ccf,246,#FF90FF
bic,allen_ccf,482,#CCCCCC
PVH,allen_ccf,38,#FF5D50
AUDv,allen_ccf,1018,#019399
PAA,allen_ccf,788,#59DAAB
SPFm,allen_ccf,414,#FF8084
VISpor,allen_ccf,312782628,#08858C
ORBl6a,allen_ccf,440,#248A5E
CENT3,allen_ccf,984,#FFFC91
ENTm5,allen_ccf,727,#32B825
ENTl1,allen_ccf,1121,#32B825
PRP,allen_ccf,169,#FFB3D9
FRP6b,allen_ccf,526322264,#268F45
PST,allen_ccf,356,#F2483B
MOp5,allen_ccf,648,#1F9D5A
tb,allen_ccf,841,#CCCCCC
SLC,allen_ccf,350,#FFC395
uf,allen_ccf,850,#CCCCCC
TU,allen_ccf,614,#F2483B
ACVII,allen_ccf,576,#FFB3D9
VISpl,allen_ccf,425,#08858C
SSp-un6a,allen_ccf,182305709,#188064
AUDpo,allen_ccf,1027,#019399
ACAd5,allen_ccf,1015,#40A666
AVPV,allen_ccf,272,#FF5547
VISa4,allen_ccf,312782558,#009FAC
ZI,allen_ccf,797,#F2483B
VISpl5,allen_ccf,902,#08858C
LD,allen_ccf,155,#FF909F
VISpl6a,allen_ccf,377,#08858C
VISpm1,allen_ccf,805,#08858C
SUV,allen_ccf,217,#FFB3D9
tsp,allen_ccf,877,#CCCCCC
LS,allen_ccf,242,#90CBED
STR,allen_ccf,477,#98D6F9
y,allen_ccf,781,#FFB3D9
AT,allen_ccf,231,#FF90FF
Acs5,allen_ccf,549009219,#FFBA86
x,allen_ccf,765,#FFB3D9
AIv6a,allen_ccf,675,#219866
MY-sen,allen_ccf,386,#FFA5D2
SSp-ul6b,allen_ccf,1026,#188064
MV,allen_ccf,202,#FFB3D9
AIp,allen_ccf,111,#219866
MA,allen_ccf,298,#A2B1D8
AUDv1,allen_ccf,959,#019399
VISpl4,allen_ccf,869,#08858C
POST,allen_ccf,1037,#48C83C
SCm,allen_ccf,294,#FF90FF
VISa5,allen_ccf,312782562,#009FAC
ORB,allen_ccf,714,#248A5E
VENT,allen_ccf,637,#FF8084
ECT5,allen_ccf,988,#0D9F91
TT,allen_ccf,589,#62D09F
APr,allen_ccf,484682508,#33B932
ORBvl5,allen_ccf,1125,#248A5E
MGv,allen_ccf,1079,#FF8084
VISli6a,allen_ccf,312782594,#08858C
CTXpl,allen_ccf,695,#70FF70
PGRNd,allen_ccf,970,#FFB3D9
NTB,allen_ccf,642,#FFA5D2
IPL,allen_ccf,607344846,#FFA6FF
PPN,allen_ccf,1052,#FFA6FF
PPY,allen_ccf,1069,#FFB3D9
LAV,allen_ccf,209,#FFB3D9
PGRN,allen_ccf,938,#FFB3D9
RSPv2,allen_ccf,606,#1AA698
IIn,allen_ccf,848,#CCCCCC
EPv,allen_ccf,966,#A0EE9D
PIL,allen_ccf,560581563,#FF909F
ACAd6b,allen_ccf,927,#40A666
AUDp6a,allen_ccf,954,#019399
CENT2,allen_ccf,976,#FFFC91
ENTl2,allen_ccf,20,#32B825
ENTm6,allen_ccf,743,#32B825
AId5,allen_ccf,1101,#219866
VISpor4,allen_ccf,312782640,#08858C
RSPd5,allen_ccf,610,#1AA698
DORsm,allen_ccf,864,#FF8084
LAT,allen_ccf,138,#FF909F
FRP6a,allen_ccf,526157196,#268F45
DG-mo,allen_ccf,10703,#7ED04B
SSp-un4,allen_ccf,182305701,#188064
IPN,allen_ccf,100,#FFA6FF
SSp-n5,allen_ccf,702,#188064
cVIIIn,allen_ccf,948,#CCCCCC
smd,allen_ccf,341,#CCCCCC
VISrl4,allen_ccf,312782612,#009FAC
VI,allen_ccf,653,#FFB3D9
SAG,allen_ccf,271,#FF7AFF
SSp-un6b,allen_ccf,182305713,#188064
TEa,allen_ccf,541,#15B0B3
SCO,allen_ccf,599626923,#FF7AFF
VISpl6b,allen_ccf,393,#08858C
SUB,allen_ccf,502,#4FC244
MT,allen_ccf,58,#FF90FF
LP,allen_ccf,218,#FF909F
PVpo,allen_ccf,133,#FF5547
CH,allen_ccf,567,#B0F0FF
BMAp,allen_ccf,334,#84EA81
sctd,allen_ccf,553,#CCCCCC
