region_name,region_type,region_id,color
ACAv6a,allen_ccf,810,#40A666
PRNr,allen_ccf,146,#FFC395
SSp-ll6a,allen_ccf,478,#188064
icp,allen_ccf,1123,#CCCCCC
IAM,allen_ccf,1120,#FF909F
bsc,allen_ccf,916,#CCCCCC
DG-po,allen_ccf,10704,#7ED04B
ICe,allen_ccf,828,#FF7AFF
BST,allen_ccf,351,#B3C0DF
PCG,allen_ccf,898,#FFBA86
ORBl,allen_ccf,723,#248A5E
GU1,allen_ccf,36,#009C75
fiber tracts,allen_ccf,1009,#CCCCCC
RSPd,allen_ccf,879,#1AA698
ECT6b,allen_ccf,1045,#0D9F91
VISl,allen_ccf,409,#08858C
pc,allen_ccf,158,#CCCCCC
CLA,allen_ccf,583,#8ADA87
CEAm,allen_ccf,559,#80C0E2
SO,allen_ccf,390,#FF5D50
P5,allen_ccf,549009215,#FFBA86
PT,allen_ccf,15,#FF909F
HATA,allen_ccf,589508447,#33B932
MOB,allen_ccf,507,#9AD2BD
IA,allen_ccf,1105,#80C0E2
AUDpo,allen_ccf,1027,#019399
IV,allen_ccf,115,#FF90FF
GU6a,allen_ccf,638,#009C75
VISp4,allen_ccf,721,#08858C
df,allen_ccf,530,#CCCCCC
FN,allen_ccf,989,#FFFDBC
DP,allen_ccf,814,#A4DAA4
MOp6a,allen_ccf,844,#1F9D5A
DG,allen_ccf,726,#7ED04B
AOBgr,allen_ccf,196,#95E4C8
ec,allen_ccf,579,#CCCCCC
fx,allen_ccf,436,#CCCCCC
HIP,allen_ccf,1080,#7ED04B
VISp5,allen_ccf,778,#08858C
AON,allen_ccf,159,#54BF94
IntG,allen_ccf,563807439,#FF909F
CENT,allen_ccf,920,#FFFC91
CA1,allen_ccf,382,#7ED04B
AId6a,allen_ccf,783,#219866
VISpor6b,allen_ccf,312782652,#08858C
CEAl,allen_ccf,551,#80C0E2
PB,allen_ccf,867,#FFAE6F
NPC,allen_ccf,634,#FF90FF
PVp,allen_ccf,126,#FF5547
ORBm,allen_ccf,731,#248A5E
ACAv6b,allen_ccf,819,#40A666
SSp-ll6b,allen_ccf,510,#188064
INC,allen_ccf,67,#FF90FF
COAp,allen_ccf,647,#61E7B7
int,allen_ccf,6,#CCCCCC
ICd,allen_ccf,820,#FF7AFF
POR,allen_ccf,122,#FFAE6F
VISpm,allen_ccf,533,#08858C
NDB,allen_ccf,596,#96A7D3
epsc,allen_ccf,760,#CCCCCC
PVT,allen_ccf,149,#FF909F
GU4,allen_ccf,148,#009C75
chpl,allen_ccf,108,#AAAAAA
RSPv,allen_ccf,886,#1AA698
RAmb,allen_ccf,165,#FFA6FF
RN,allen_ccf,214,#FF90FF
SCdg,allen_ccf,26,#FF90FF
AUD,allen_ccf,247,#019399
lfbst,allen_ccf,896,#CCCCCC
PF,allen_ccf,930,#FF909F
PALc,allen_ccf,809,#B3C0DF
MOp,allen_ccf,985,#1F9D5A
CBX,allen_ccf,528,#F0F080
SCiw,allen_ccf,17,#FF90FF
VISp1,allen_ccf,593,#08858C
SPA,allen_ccf,609,#FF8084
VNC,allen_ccf,701,#FFB3D9
AMB,allen_ccf,135,#FFB3D9
cuf,allen_ccf,380,#CCCCCC
VAL,allen_ccf,629,#FF8084
EP,allen_ccf,942,#A0EE9D
DT,allen_ccf,75,#FF90FF
AAA,allen_ccf,23,#80C0E2
dc,allen_ccf,514,#CCCCCC
NLOT,allen_ccf,619,#95E4C8
amc,allen_ccf,884,#CCCCCC
SSp-m6b,allen_ccf,2,#188064
CBN,allen_ccf,519,#F0F080
AUDd6b,allen_ccf,243,#019399
PG,allen_ccf,931,#FFBA86
FRP,allen_ccf,184,#268F45
IIIn,allen_ccf,832,#CCCCCC
PP,allen_ccf,1044,#FF8084
RO,allen_ccf,222,#FFC6E2
VISam6a,allen_ccf,1046,#08858C
GU5,allen_ccf,187,#009C75
PBG,allen_ccf,874,#FF7AFF
SSp-m,allen_ccf,345,#188064
PRNc,allen_ccf,1093,#FFBA86
PC5,allen_ccf,549009223,#FFBA86
SPFp,allen_ccf,422,#FF8084
DG-sg,allen_ccf,632,#66A83D
ICc,allen_ccf,811,#FF7AFF
PERI,allen_ccf,922,#0E9684
LRN,allen_ccf,235,#FFB3D9
MDRNv,allen_ccf,1107,#FFB3D9
LDT,allen_ccf,162,#FFC395
SI,allen_ccf,342,#A2B1D8
PR,allen_ccf,1077,#FF909F
VTN,allen_ccf,757,#FF90FF
RM,allen_ccf,206,#FFC6E2
mcp,allen_ccf,78,#CCCCCC
ORBm1,allen_ccf,484,#248A5E
SFO,allen_ccf,338,#FF5547
ORBl5,allen_ccf,630,#248A5E
MMl,allen_ccf,606826647,#FF4C3E
MOs,allen_ccf,993,#1F9D5A
COApl,allen_ccf,655,#61E7B7
mfbse,allen_ccf,1083,#CCCCCC
VISa,allen_ccf,312782546,#009FAC
VISrl,allen_ccf,417,#009FAC
AMv,allen_ccf,1104,#FF909F
IP,allen_ccf,91,#FFFDBC
hc,allen_ccf,618,#CCCCCC
IG,allen_ccf,19,#7ED04B
ILA5,allen_ccf,827,#59B363
STRd,allen_ccf,485,#98D6F9
MTN,allen_ccf,571,#FF909F
SSp-ll,allen_ccf,337,#188064
ee,allen_ccf,964,#CCCCCC
V4r,allen_ccf,153,#AAAAAA
fi,allen_ccf,603,#CCCCCC
ORBvl,allen_ccf,746,#248A5E
IF,allen_ccf,12,#FFA6FF
HB,allen_ccf,1065,#FF9B88
COApm,allen_ccf,663,#61E7B7
MMm,allen_ccf,606826651,#FF4C3E
PALv,allen_ccf,835,#A2B1D8
SSp-m6a,allen_ccf,1102,#188064
PD,allen_ccf,914,#FF5547
AUDd6a,allen_ccf,156,#019399
RL,allen_ccf,197,#FFA6FF
PS,allen_ccf,1109,#FF5547
SH,allen_ccf,333,#90CBED
LHA,allen_ccf,194,#F2483B
VISam6b,allen_ccf,441,#08858C
MMme,allen_ccf,732,#FF4C3E
PVa,allen_ccf,30,#FF5D50
SSp-n,allen_ccf,353,#188064
MDRN,allen_ccf,395,#FFB3D9
ILM,allen_ccf,51,#FF909F
COAa,allen_ccf,639,#61E7B7
ProS,allen_ccf,484682470,#58BA48
PoT,allen_ccf,563807435,#FF8084
ICB,allen_ccf,372,#FFB3D9
